what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1466252738985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252740900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252742482
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1466252742979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466252743328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1466252743966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252745543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252746231
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1466252747477
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1466252747588
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1466252747595
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1466252747615
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1466252747628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252750150
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1466252752507
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1466252752523
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1466252752524
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1466252752526
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1466252752542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252762100
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1466252762142
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1466252762667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1466252768357
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252768678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252778597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252783269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252789234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252791453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252806902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466252807260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466257614967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466257614993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466257616603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466257616723
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1466257616944
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1466257617073
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1466257617401
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1466257617623
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1466257617623
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1466257617626
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1466257617627
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1466257617628
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1466257617632
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1466257617659
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1466257617659
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1466257617659
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1466257617659
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1466265508323
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1466265508324
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1466265508325
